logFC	logCPM	LR	PValue	FDR
PA14_46990igr	-8.00349185122257	2.18175101648335	24.0385357752072	9.44267979383326e-07	0.00975239969107099
PA14_55330	-8.56147101967055	2.40438686068913	21.5332422331779	3.47748099860947e-06	0.0151892467396298
PA14_10900	-4.95700021433573	2.66649267258589	21.076939983261	4.41205850299083e-06	0.0151892467396298
PA14_71300	-4.21289543595478	2.55376027383204	18.5972418264927	1.61453977276818e-05	0.030649720702295
PA14_37900igr	-4.97860837480632	2.14492859297371	18.410929251763	1.78033906382072e-05	0.030649720702295
PA14_33580	-5.43239417282582	1.87020474500203	18.4106711664444	1.78058021121001e-05	0.030649720702295
PA14_63710	-5.29937513313324	2.55957836276215	17.5651085957483	2.77636012395964e-05	0.0342717016916957
PA14_10400	-7.77211914256987	1.39345931945442	17.0443491417368	3.65168804736105e-05	0.0342717016916957
PA14_37610igr	-7.47648720595053	0.915200281502328	17.0302450439694	3.6789121758084e-05	0.0342717016916957
PA14_56890igr	-3.59190581251924	1.51284006926921	16.9502080664544	3.83731139364763e-05	0.0342717016916957
PA14_29230igr	-5.07895860810671	2.67340041906179	16.9232478081161	3.89219710889418e-05	0.0342717016916957
PA14_13650	-2.43759733019186	4.83931967912011	16.8799520736264	3.98199477440306e-05	0.0342717016916957
PA14_20040	-4.49418629621114	2.94103415375992	16.5432584750971	4.75527417550753e-05	0.0377788243728014
PA14_61390	1.87304325915717	5.40459562805326	16.3865091214999	5.16515563968254e-05	0.0378754780389372
PA14_22100	-4.12839408954535	3.54965967513223	16.1704399403345	5.78904808299374e-05	0.0378754780389372
PA14_34190	-3.77869047749049	2.77213978553281	16.0894019952149	6.04212251230342e-05	0.0378754780389372
PA14_38190	-4.41131824206418	2.87384428323268	16.0053894711335	6.31624230238089e-05	0.0378754780389372
PA14_30910igr	-4.9615082921617	1.4125322019608	15.9218937137384	6.60107092080625e-05	0.0378754780389372
PA14_71430igr	-2.27504817344055	4.48990477996137	15.7101794111342	7.38257915181965e-05	0.0401301460421018
PA14_06450	-2.59496288197615	3.57334584298996	15.3937587665756	8.72760830720143e-05	0.0433736539617048
PA14_63640	-3.04585376393479	3.68228661708342	15.3740328787481	8.81919764906857e-05	0.0433736539617048
PA14_20170	-4.43117807591776	2.53539213508391	15.1116162743126	0.000101337797660968	0.0475734897382944
PA14_63170igr	2.23469150265572	4.10947051298039	14.8297137656707	0.000117666893311076	0.0477070529848584
PA14_31890	-1.86273589713038	5.06266182509068	14.8248221266906	0.000117972479480103	0.0477070529848584
PA14_26650	-2.38529567893934	3.30123799176214	14.6082652253707	0.000132332869303936	0.0477070529848584
PA14_23570igr	4.18121570574594	3.82021385372561	14.5295282505096	0.000137979794305538	0.0477070529848584
PA14_55480	-3.87339451913535	2.6978265980369	14.4991678532091	0.000140221470707	0.0477070529848584
PA14_14420igr	-3.22403183464771	5.94986391776085	14.4834523615844	0.000141396199171318	0.0477070529848584
PA14_08830igr	2.83317179398347	4.23480404394607	14.4483912369473	0.00014405284863912	0.0477070529848584
PA14_37560	-2.9058146566682	3.49926384944636	14.3388915758233	0.000152677877283114	0.0477070529848584
PA14_10960	-2.12478318882184	3.98670644969126	14.2580426561049	0.000159378281495153	0.0477070529848584
PA14_42300	-4.98357127607882	1.65217625946186	14.2308491979838	0.000161697883402133	0.0477070529848584
PA14_09370	-3.86886291915412	2.6307127073592	14.2076516737357	0.000163703487295162	0.0477070529848584
PA14_36740	-2.13729977454705	4.13263423981837	14.1855519260561	0.000165637479959361	0.0477070529848584
PA14_31080	-4.80722997314484	1.54896996120514	14.0470761375155	0.000178290813412768	0.0477070529848584
PA14_37460	-3.99020457770638	2.93064467853449	13.992917762855	0.000183500522073275	0.0477070529848584
PA14_07370	3.58089099758553	3.56537660469887	13.9739781274076	0.000185358366250603	0.0477070529848584
PA14_56140	-2.17446517488969	3.87065713377445	13.9564332733369	0.000187096294665308	0.0477070529848584
PA14_12820	-2.31388052126828	4.96590935834003	13.9239936245017	0.00019035299745879	0.0477070529848584
PA14_48300	-2.27561514786415	3.84889425462645	13.9180571655648	0.000190955126882651	0.0477070529848584
PA14_18370igr	-3.15333496139566	2.61573998230846	13.9059293276529	0.000192191212611854	0.0477070529848584
PA14_18470	-3.21061671725146	3.08094324114859	13.8322350757067	0.000199877478065618	0.0477070529848584
PA14_32740	-1.92040175087944	4.6283813450367	13.8001737521535	0.000203317425967696	0.0477070529848584
PA14_39000	-2.79594688846684	4.11640338811299	13.6991550411224	0.000214550995135923	0.0477070529848584
PA14_43570	-4.85547281371424	1.96965087456708	13.658828812377	0.000219208183706035	0.0477070529848584
PA14_18275	-2.58896469809602	3.54488266173596	13.5981141457839	0.000226412860754345	0.0477070529848584
PA14_37380igr	-7.11474747319968	0.625701442581199	13.5742770083235	0.000229306293164422	0.0477070529848584
PA14_46640	-2.27403478459033	4.59000271055682	13.5608153691323	0.000230956745893686	0.0477070529848584
PA14_68090	-2.42976747716372	3.25446753913261	13.5510345611546	0.000232163417293504	0.0477070529848584
PA14_17140igr	2.94807518328725	3.31434563959722	13.5396996516652	0.000233569770197298	0.0477070529848584
PA14_28880	-2.85732319938046	3.53830102517096	13.5236245968411	0.000235578979688979	0.0477070529848584
PA14_58500igr	-4.51689122327483	1.38949390268348	13.4214642542681	0.000248761448317583	0.0494078507350768
PA14_37630	-1.86262909636472	4.13788710059798	13.3346132182711	0.000260551737051283	0.0501440918166072
PA14_39010	-2.2075864200314	4.37299986561236	13.322941030481	0.000262178636531447	0.0501440918166072
