X	logFC	logCPM	LR	PValue	FDR	UniversalAnnotation	GeneAnnotation	GeneCategory
48	PA14_00310	1.64923338931486	4.85483591518506	15.6813909951838	7.49580462196222e-05	0.049776750423411	NA	peptidyl-prolyl isomerase	Translation, post-translational modification, degradation
2260	PA14_16250	2.66139925199121	6.91267103725292	15.4768093391138	8.35237474460158e-05	0.049776750423411	lasB	elastase LasB	Amino acid biosynthesis and metabolism
2924	PA14_20980	1.678618249189	3.69331834130003	15.5201920141866	8.16286366354869e-05	0.049776750423411	NA	short chain dehydrogenas	Putative enzymes
3170	PA14_22580igr	3.88916789075801	0.593184954894623	15.5801744634133	7.9079426183169e-05	0.049776750423411	NA	AraC family transcriptional regulator	Transcriptional regulators
5612	PA14_40260igr	3.6242592230748	7.0372037583888	15.3029734771161	9.15722558137886e-05	0.049776750423411	NA	hypothetical protein	Hypothetical, unclassified, unknown
6758	PA14_48530	3.73720368783002	6.88267905972795	15.5004419704502	8.24859651403893e-05	0.049776750423411	NA	AMP-binding protein	Putative enzymes
7183	PA14_51430	1.92670364625463	5.21422298079375	15.3612759915326	8.87894354382553e-05	0.049776750423411	pqsA	PqsA	Hypothetical, unclassified, unknown
7855	PA14_55880	1.79717146620733	4.4733417876991	15.4097968442716	8.65384765888295e-05	0.049776750423411	NA	hypothetical protein	Protein secretion/export apparatus
7856	PA14_55890	1.65505918859801	5.13463174553794	15.4285443138174	8.56842094838691e-05	0.049776750423411	NA	type II secretion system protein	Protein secretion/export apparatus
9442	PA14_67150igr	4.13946453160506	-0.0277776971648005	16.5839303274564	4.6543729667551e-05	0.049776750423411	NA	oxidoreductase	Amino acid biosynthesis and metabolism
9445	PA14_67180	5.51370279322623	8.51323320087655	15.3210900744768	9.06982656770304e-05	0.049776750423411	NA	hypothetical protein	Hypothetical, unclassified, unknown
9477	PA14_67420igr	6.67351735442706	5.68917969007569	16.7783838097531	4.20091308853441e-05	0.049776750423411	hutC	histidine utilization genes repressor protein	Transcriptional regulators
